index,tweet,clean_tweet,topic,negative,neutral,positive
1361022,http://twitpic.com/6pblh - finally someone in my fam understands my taste. thanks dad ,http - finally someone in my fam understands my taste. thanks dad ,0,0.007930464,0.099521086,0.89254844
1194472,just made a youtube vid  and is posting it right now,just made a youtube vid  and is posting it right now,6,0.010768636,0.82794946,0.16128194
719609,people don't actually understand how painful it is to just &quot;email me those pictures!&quot; Other ways are TOTALLY better. ,people don't actually understand how painful it is to just &quot;email me those pictures!&quot; Other ways are TOTALLY better. ,7,0.6027135,0.29403025,0.10325618
579903,its really rainy today ,its really rainy today ,4,0.39071208,0.49106377,0.11822415
207270,@glowcatsglow it wouldn't come on my phone even though I can do video now  laaame,@user it wouldn't come on my phone even though I can do video now  laaame,6,0.7836319,0.19495554,0.021412607
1097446,it's raining pretty hard... a boyfriend would come handy in these situations. bear hug! ,it's raining pretty hard... a boyfriend would come handy in these situations. bear hug! ,4,0.1732183,0.4709968,0.35578483
1096518,had icecream at Nestle  http://plurk.com/p/x68xu,had icecream at Nestle  http,0,0.014026959,0.639877,0.346096
645236,"says makin di inget, makin takut besooook  http://plurk.com/p/125003","says makin di inget, makin takut besooook  http",0,0.1144035,0.81942695,0.06616957
384776,It's raining  Can't be bothered to do anything I should be doing,It's raining  Can't be bothered to do anything I should be doing,4,0.8434618,0.13471976,0.021818534
423704,@fallenstar_   you're scrap booking with my photos aren't you lol,@user   you're scrap booking with my photos aren't you lol,7,0.25006184,0.64795303,0.10198507
1101282,http://twitpic.com/691zf - ... from the stairs ,http - ... from the stairs ,0,0.15459375,0.79522717,0.05017912
679830,NOW ITS RAINING MORE THAN EVEEEEEEEEER ,NOW ITS RAINING MORE THAN EVEEEEEEEEER ,4,0.017692026,0.35555235,0.6267556
526157,Here without you!   http://myloc.me/42vW,Here without you!   http,0,0.4371426,0.4518884,0.11096902
44402,what a suck... I cant even watch &quot;You Belong With Me&quot; music video because i dont have computer ,what a suck... I cant even watch &quot;You Belong With Me&quot; music video because i dont have computer ,6,0.958987,0.036616854,0.004396038
561891,Stay away from the mass pike  http://twitpic.com/7m4rz ,Stay away from the mass pike  http ,0,0.40618092,0.5593552,0.03446384
1429159,"@deeener LOL aww, i'll make you a whole tray for your birthday  ROFLOL !","@user LOL aww, i'll make you a whole tray for your birthday  ROFLOL !",2,0.0062054703,0.12757427,0.86622036
1570828,@daniel_shippey great job on the new S&amp;S pictures! ,@user great job on the new S&amp;S pictures! ,7,0.0012080894,0.017132498,0.9816595
1078469,@gbell88 @karinagarcia @TaylaMe3 haha just read your replies to my random drunken pictures from last night. thanks for viewing ,@user @user @user haha just read your replies to my random drunken pictures from last night. thanks for viewing ,7,0.042317957,0.34260175,0.61508024
1412735,"25+ teens in my house preparing for the American Cancer Society's Relay for Life!!! Later, peeps!  ","25+ teens in my house preparing for the American Cancer Society's Relay for Life!!! Later, peeps!  ",2,0.007725393,0.47371727,0.51855737
692354,awake early on a saturday....to do some hw ,awake early on a saturday....to do some hw ,1,0.01482277,0.8261486,0.15902877
431497,Sundays should not be for working!!!! Unfortunately there aren't nearly enough hours in a week so I ought to get cracking ,Sundays should not be for working!!!! Unfortunately there aren't nearly enough hours in a week so I ought to get cracking ,5,0.761172,0.19300996,0.04581797
1471146,"woooooooooow, now this is just b.e.a.u.tiful! http://bit.ly/FFoau  ","woooooooooow, now this is just b.e.a.u.tiful! http  ",0,0.016968105,0.06355753,0.9194743
1078957,Long weekends means custom orders!! Let me know what you'd like!! ,Long weekends means custom orders!! Let me know what you'd like!! ,5,0.01432979,0.5463154,0.43935487
91567,Man. Its already 8.30.. Sigh. Tomorrow is monday... ,Man. Its already 8.30.. Sigh. Tomorrow is monday... ,5,0.6307848,0.3084692,0.060746033
186842,Today is my birthday. I am now 29 going on 30. Man that sounds old. ,Today is my birthday. I am now 29 going on 30. Man that sounds old. ,2,0.20591862,0.5294859,0.2645957
165547,it's raining.. ,it's raining.. ,4,0.104157336,0.6485324,0.24731031
